,Name,Year,Global_Sales
0,'98 Koshien,1998.0,0.41
1,.hack//G.U. Vol.1//Rebirth,2006.0,0.17
2,.hack//G.U. Vol.2//Reminisce,2006.0,0.23
3,.hack//G.U. Vol.2//Reminisce (jp sales),2006.0,0.16
4,.hack//G.U. Vol.3//Redemption,2007.0,0.17
5,.hack//Infection Part 1,2002.0,1.27
6,.hack//Link,2010.0,0.14
7,.hack//Mutation Part 2,2002.0,0.68
8,.hack//Outbreak Part 3,2002.0,0.46
9,.hack//Quarantine Part 4: The Final Chapter,2003.0,0.18
10,.hack: Sekai no Mukou ni + Versus,2012.0,0.03
11,007 Racing,2000.0,0.53
12,007: Quantum of Solace,2008.0,3.92
13,007: The World is not Enough,2000.0,2.47
14,007: Tomorrow Never Dies,1999.0,3.21
15,1 vs. 100,2008.0,0.09
16,1/2 Summer +,2013.0,0.01
17,10 Minute Solution,2010.0,0.08
18,100 All-Time Favorites,2009.0,0.51
19,100 Classic Books,2008.0,0.67
20,100 Classic Games,2011.0,0.04
21,1000 Cooking Recipes from ELLE à table,2010.0,0.03
22,1001 Touch Games,2011.0,0.33
23,101-in-1 Explosive Megamix,2008.0,0.2
24,101-in-1 Party Megamix Wii,2009.0,0.23
25,101-in-1 Sports Megamix,2010.0,0.08
26,101-in-1 Sports Party Megamix,2010.0,0.03
27,1080°: TenEighty Snowboarding,1998.0,2.03
28,11eyes: CrossOver,2009.0,0.02
29,11eyes: CrossOver,2010.0,0.02
30,12-Sai. Honto no Kimochi,2014.0,0.07
31,12-Sai. Koisuru Diary,2016.0,0.04
32,12Riven: The Psi-Climinal of Integral,2008.0,0.04
33,15 Days,2009.0,0.01
34,1701 A.D.,2006.0,0.3
35,18 Wheeler: American Pro Trucker,2001.0,0.4
36,18 Wheeler: American Pro Trucker,2002.0,0.11
37,18 Wheels of Steel: Extreme Trucker,2009.0,0.02
38,18 Wheels of Steel: Extreme Trucker 2,2011.0,0.11
39,187: Ride or Die,2005.0,0.21
40,1942,1985.0,1.0
41,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,2005.0,0.12
42,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,2007.0,1.76
43,2 Games in 1: Disney Princess & The Lion King,2004.0,1.75
44,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,2005.0,0.31
45,2 Games in 1: Sonic Advance & ChuChu Rocket!,2005.0,1.83
46,2 Games in 1: Sonic Battle & ChuChu Rocket!,2005.0,0.61
47,2 Games in 1: Sonic Pinball Party & Columns Crown,2005.0,0.06
48,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2005.0,0.45
49,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2004.0,0.53
50,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2013.0,0.12
51,2-in-1 Game Pack: Spider-Man & Spider-Man 2,2005.0,0.09
52,2002 FIFA World Cup,2002.0,0.8300000000000001
53,2010 FIFA World Cup South Africa,2010.0,3.0
54,2014 FIFA World Cup Brazil,2014.0,1.18
55,24: The Game,2006.0,0.3
56,25 to Life,2006.0,0.59
57,2Xtreme,1996.0,1.4
58,"3 in 1: Solitaire, Mahjong & Tangram",2010.0,0.08
59,300: March to Glory,2007.0,0.41
60,3D Baseball,1996.0,0.03
61,3D Dot Game Heroes,2009.0,0.57
62,3D Lemmings,1995.0,0.06
63,3D Tank Warfare Simulator Panzer Front,1999.0,0.1
64,3DS Classic Collection,2016.0,0.03
65,3Xtreme,1999.0,0.9
66,3rd Super Robot Wars Z Jigoku Hen,2014.0,0.42000000000000004
67,3rd Super Robot Wars Z: Tengoku-Hen,2015.0,0.33999999999999997
68,4 Elements,2009.0,0.05
69,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,2005.0,0.12
70,4 Nin uchi Mahjong,1984.0,1.45
71,40 Winks,1999.0,0.31
72,428: Fuusa Sareta Shibuya de,2008.0,0.13
73,428: Fuusa Sareta Shibuya de,2009.0,0.06
74,4x4 EVO 2,2001.0,0.24
75,4x4 EVO 2,2002.0,0.14
76,4x4 Evolution,2001.0,0.32
77,50 Cent: Blood on the Sand,2009.0,0.4
78,50 Cent: Bulletproof,2005.0,2.21
79,50 Cent: Bulletproof,2006.0,0.09
80,50 Classic Games,2009.0,0.55
81,50 Classic Games,2012.0,0.02
82,64 de Hakken! Tamagotchi Minna de Tamagotchi World,1997.0,0.22
83,7 Days to Die,2016.0,0.16
84,7 Roses: A Darkness Rises,2015.0,0.02
85,7 Wonders II,2009.0,0.32
86,7 Wonders of the Ancient World,2007.0,0.21000000000000002
87,7 Wonders: Treasures of Seven,2011.0,0.05
88,7th Dragon,2009.0,0.14
89,7th Dragon 2020,2011.0,0.2
90,7th Dragon 2020-II,2013.0,0.13
91,7th Dragon III Code: VFD,2015.0,0.16
92,99 no Namida,2008.0,0.04
93,"999: Nine Hours, Nine Persons, Nine Doors",2009.0,0.43
94,A Boy and His Blob,2009.0,0.22
95,A Bug's Life,1998.0,3.42
96,A Collection of Activision Classic Games for the Atari 2600,1998.0,1.37
97,A Collection of Classic Games from the Intellivision,1999.0,0.31
98,A Game of Thrones: Genesis,2011.0,0.04
99,A Good Librarian Like a Good Shepherd: Library Party,2015.0,0.03
100,A New Beginning,2010.0,0.06
101,A Ressha de Gyoukou 2001,2001.0,0.03
102,A Ressha de Ikou DS,2009.0,0.04
103,A Vampyre Story,2008.0,0.02
104,A Witch's Tale,2009.0,0.11
105,A llI S.V.: A Ressha de Gyoukou 3 Super Version,1995.0,0.06
106,A-Train,1995.0,0.08
107,A-Train 6,2000.0,0.06
108,A-Train: City Simulator,2014.0,0.06
109,A. IV Evolution: A Ressha de Ikou 4,1994.0,0.25
110,A.C.E.: Another Century's Episode,2005.0,0.26
111,A.C.E.: Another Century's Episode 2,2006.0,0.18
112,A.C.E.: Another Century's Episode 3: The Final,2007.0,0.26
113,A.C.E.: Another Century's Episode Portable,2011.0,0.12
114,A.C.E.: Another Century's Episode R,2010.0,0.26
115,ABBA: You Can Dance,2011.0,0.8
116,AC/DC LIVE: Rock Band Track Pack,2008.0,0.91
117,AIR,2007.0,0.02
118,AKB1/149: Love Election,2012.0,0.30000000000000004
119,AKB1/149: Love Election,2013.0,0.08
120,AKB1/48: Idol to Guam de Koishitara...,2011.0,0.4
121,AKB1/48: Idol to Koishitara...,2010.0,0.41
122,AKB48+Me,2012.0,0.11
123,AMF Bowling 2004,2003.0,0.3
124,AMF Bowling Pinbusters!,2007.0,0.91
125,AMF Bowling Pinbusters!,2008.0,0.07
126,AMF Bowling World Lanes,2008.0,0.36
127,AMF Xtreme Bowling,2006.0,0.02
128,AMNESIA World,2014.0,0.03
129,APB Reloaded,2011.0,0.04
130,ASH: Archaic Sealed Heat,2007.0,0.12
131,ATV Offroad Fury,2001.0,2.41
132,ATV Offroad Fury 2,2002.0,2.18
133,ATV Offroad Fury 3,2004.0,1.2
134,ATV Offroad Fury Pro,2006.0,0.46
135,ATV Offroad Fury: Blazin' Trails,2005.0,0.57
136,ATV Quad Kings,2009.0,0.22
137,ATV Quad Kings,2010.0,0.11
